Date,ABT,ADBE,ADI,ADP,AMAT,AME,AXP,BA,CL,COF,CSCO,CVX,DD,DELL,FDX,GE,GILD,GM,GS,HAS,IBM,INTC,JBL,JNJ,JPM,KLAC,KMB,LMT,LOW,MA,MKC,MMM,MRK,MS,MU,NEM,OLN,PG,PH,PPG,QCOM,RTX,SPGI,T,TMUS,TXN,UNP,V,WDC,XOM,^GSPC
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-03,0.28601723784770766,0.3717303014472252,0.3454899848136381,0.41305541223372116,0.4011779531769559,0.0699676885583485,0.5960936350921564,0.19775984012627473,0.406975796353644,0.5084119761240357,0.5765528201380463,0.14337604759231165,0.3156962331734827,,0.38032396322917766,0.638652535886228,0.3380823458866477,,0.363955455315377,0.2938808611217086,0.2089479970883356,0.5188679520524333,0.33689305223712285,0.36560047257383704,0.5998013048686958,0.44261321740547116,0.4290445082909741,0.06042965041025688,0.5949720128207776,,0.26469029479975537,0.4352133577217746,0.5163387229411555,0.5016037417209432,0.11565084133767202,-0.11822114813056925,0.18039239919963007,0.2943412550111142,0.5842594844054798,0.3528078127869371,0.5683509731500666,0.36654972199719066,0.37813552048994675,0.4234857425159205,,0.36606161243422725,0.3203883332945723,,0.28164224578801755,0.2537586983243733,0.9262646269998959
2000-04-04,0.22603988670976236,0.3373395384652808,0.3282694038257577,0.425307868173318,0.3417808417897377,0.06919811037226908,0.5781876362442698,0.20428494769152875,0.3998268234578555,0.48372840510300724,0.5485287298424684,0.15494433289924486,0.30388219901579333,,0.36400684617882173,0.6185814734685402,0.3268190011565403,,0.3222897438884168,0.23214550349616378,0.16826959959473808,0.4872819278725952,0.29715065272170094,0.304798909155816,0.5958292119476452,0.42448108535626217,0.43981469941191625,0.11164087024627846,0.5750030928679098,,0.2887427452891765,0.4042935135720798,0.49904395083686054,0.4495915222036402,0.09755531875739763,-0.20606951021400088,0.18622661175839283,0.2799152835235194,0.5681358855621875,0.3207956697406774,0.5320052598672362,0.32476650282733566,0.33939141406374496,0.37497869115788784,,0.347299941927401,0.3344237486756663,,0.37008830654418357,0.22758300701818163,0.9192485376096854
2000-04-05,0.2329426428233864,0.32979741980582133,0.325141437941614,0.4277409907988606,0.33238038254995755,0.0692293926089948,0.5839189264649551,0.2169755442775841,0.40612258005145896,0.48595397352501846,0.5508030562966671,0.16128811654286496,0.3089665202284549,,0.35764926391475327,0.6190514228253396,0.3197492281425046,,0.32996761670388197,0.2335568159332736,0.15890733708078514,0.48985422559560104,0.2895627030161957,0.3011530513863483,0.5969962430348641,0.42641826117466924,0.44209603756829585,0.10266678655309032,0.5748571257817661,,0.2803906501827253,0.4096182131007624,0.5009676123580351,0.45265114476799995,0.07939740859986835,-0.20655814375964107,0.19554406621897114,0.28272717198738595,0.5684905101778217,0.32833333748611376,0.536009196931514,0.33102285837028816,0.33329946601901356,0.37338166849717097,,0.3443221930888704,0.30840524622783255,,0.3514681599852035,0.24008495457120743,0.91947865372392
2000-04-06,0.26084609504585443,0.3359186940961538,0.3222867833708341,0.44131259147406565,0.33347316569284147,0.06944903310787283,0.5936526231573795,0.22743509701169892,0.40932012270346896,0.5143556108109119,0.543034333087943,0.19945000238032345,0.33070906377975834,,0.4717410856071645,0.6346580242336146,0.346059356742905,,0.3556874546524447,0.22554780595448498,0.14129970887016907,0.47269616567860434,0.2820026050326726,0.3161613402816685,0.6089893590625987,0.43157822826636255,0.45512591294836335,0.1149482191014615,0.5776962542557886,,0.2796570339584682,0.4937050454040828,0.4950584440473359,0.46383782753762326,0.0802156208067874,-0.217158460329862,0.22871106276947178,0.3091727451367032,0.5848014564123641,0.3717674903721219,0.5205090576035505,0.371125336613727,0.32707311946119644,0.3689268486002573,,0.3394569714520698,0.359267924090237,,0.3582733103181366,0.2893777648870972,0.927862915741232
2000-04-07,0.2607429554048867,0.3383450757048948,0.3400333279420192,0.45121062849035154,0.3765014622316823,0.058702016264582,0.6257405699610513,0.1838304004602434,0.37007553088573475,0.533926499640267,0.5214751062860372,0.17019986588424663,0.32300500955184924,,0.5028291596705077,0.631844671572684,0.2456143681447761,,0.38777872844067923,0.17221384234631099,0.17264837338196468,0.46794857558483544,0.27115668652385383,0.2556371800454684,0.6463960081816319,0.4291444500948139,0.4552177160812033,0.12100880505492906,0.6106644741815043,,0.3279432803423872,0.49959295151408306,0.40160982843360477,0.468462295107952,0.1438998492894313,-0.18559693404119507,0.2607872764550941,0.2412051946268958,0.530617590432674,0.36593982369469896,0.5049595673315509,0.32913620801761106,0.33979067474831426,0.39633377773605133,,0.38642034384268503,0.409469144727716,,0.2822353874692339,0.31960815249004215,0.9470839548250083
2000-04-10,0.2594317684451786,0.3394197661480686,0.34041909201623977,0.4514744678720102,0.37337731994682827,0.057039058972258486,0.6144714177878938,0.18732892667821427,0.3667173900513609,0.5323438090678466,0.522547979408732,0.17584765655639673,0.3252003990101555,,0.4765823602444351,0.6311512166156396,0.24990539020000926,,0.37771882526847816,0.1631466711618007,0.1730401582904407,0.4682917711567222,0.2735402052657564,0.2515197167282256,0.6461636299081629,0.4233513341902345,0.45489650341892207,0.12630142242949216,0.6089867646653955,,0.3403523865008347,0.4964012596295386,0.40353607314287254,0.4556347243083813,0.1461566366125651,-0.18421141872918723,0.2675078798770066,0.23391191503025904,0.5282863303748369,0.3721632094656117,0.5059827323081982,0.31107278698268087,0.34962842447418147,0.39601288153851444,,0.38802890300413084,0.4032022438593435,,0.290832775672881,0.32378368384785666,0.9487421616443387
2000-04-11,0.2487535219476595,0.326740410168452,0.3340024386180079,0.44834795979914355,0.3630229604592493,0.04746089473717071,0.6199689782891775,0.1773788336792704,0.36353532677715855,0.5232550734147372,0.5145951125776487,0.16471823041135183,0.32135505167561573,,0.4688198063359079,0.6318776257268457,0.23371904494045925,,0.38142526781870495,0.15224769783602557,0.18115225881341396,0.4936818475854018,0.2682157963484668,0.24878856444541514,0.6411954008433224,0.4198838469093502,0.44479842568799904,0.11314080383030012,0.6042724460615857,,0.33540739087004845,0.483587085771938,0.40509434512880993,0.4562694488571236,0.14183462294519486,-0.16982755434135388,0.2261112501948711,0.2410097840013472,0.5193086640690401,0.35965528061157304,0.4977864070084735,0.30240176681069497,0.35718832396725275,0.3888743207491371,,0.3859889754654231,0.399914963562986,,0.29264630568120553,0.32437456287356337,0.9481735034479907
2000-04-12,0.18719934948924521,0.34921900230003305,0.3720586850287163,0.45411987912397184,0.40887499700654234,0.050518247276961345,0.5558290540049172,0.11238022422350886,0.36430521602656785,0.49974447077937534,0.5407301789783483,0.1554097709422813,0.30378654144276274,,0.44234679791217923,0.6454748399416235,0.25924043859150825,,0.4198953747376315,0.20413169740384313,0.23018399957230395,0.532603287145783,0.3277859674218908,0.2539130741284512,0.6211431137761971,0.4576797421575381,0.39769295576987335,0.07625871296893359,0.5451777811687635,,0.2914463045651043,0.4814058499670402,0.4330638226502914,0.49352820707613915,0.16691350464045213,-0.14107964716110655,0.24053342534864924,0.20205893806986525,0.4861276368262902,0.28521243973151095,0.5176464960609167,0.30600249244529604,0.3271199743111253,0.37553230990328046,,0.41733510065956514,0.36638546479303385,,0.2971230390463547,0.3053035980051779,0.9507519838340031
2000-04-13,0.20000218105129744,0.3395048450773774,0.3744604799323878,0.46818667772769007,0.4347662195885614,0.05658226241686548,0.5637747625354516,0.12694812496085678,0.3755920245585201,0.5066533305726334,0.5470767096815444,0.16372466549665837,0.3148154861995104,,0.44100535206973535,0.6510525581235305,0.23384798682135377,,0.4258098061934305,0.19719701620431185,0.24987617496393752,0.5398848818065328,0.31919364793206273,0.2566578270852963,0.6259731034460135,0.4700357783667542,0.38601837801414324,0.09861208920884983,0.5635456176390933,,0.2738658746347045,0.4797174219857796,0.42183095160185197,0.5058642873033596,0.16794619132796076,-0.10948558723140765,0.23920723189038043,0.20197432368158327,0.503057674164396,0.2821836528184314,0.506503588847199,0.32007376574460616,0.3276503665957351,0.39007265175065226,,0.4136145303631108,0.36819068210538775,,0.2957982833867743,0.2933545597318371,0.9503731191535159
2000-04-14,0.2810155290488644,0.42474814061404237,0.3805567786418677,0.48281673732646857,0.48312621173640985,0.04822805826770696,0.6167692939443392,0.17438355539100792,0.41815770994998486,0.5438460154205036,0.5808024949393615,0.18405916779569456,0.376164001635517,,0.5142950380102057,0.6578798007949284,0.29701507400186355,,0.5239499790484207,0.33631044469642957,0.318984122578839,0.6223010277015779,0.3529864177854735,0.29491243507134157,0.6527641355137959,0.5019419498986297,0.43519005761492224,0.17952745516762952,0.5678985358885361,,0.3454497651634322,0.5145684437109163,0.4380141669680018,0.5795903420627531,0.251986926987268,-0.14966659725947207,0.29974560642328285,0.26757495990539054,0.5548507487174459,0.35412016948885827,0.5889015304230276,0.42214810389456103,0.30218786689887794,0.4744757427914494,,0.394404056386454,0.4076778373959756,,0.3239349835224978,0.3088749558015141,0.9596267586910469
2000-04-17,0.2905952358250496,0.4664931878531898,0.4137159261916791,0.47891246728581394,0.534668933590028,0.028965710493686212,0.5988243653397992,0.1771473084550005,0.42947068368511104,0.5338402913830175,0.6287155695216953,0.14199162221664643,0.36754802429304906,,0.4672340800403483,0.6721538817641901,0.23938324130680633,,0.5459339963853961,0.34475119716234087,0.370781012587291,0.6547799149486028,0.3437315574632382,0.33926763643261815,0.6247375380162039,0.5437028753994806,0.4462264361073802,0.20122405888077727,0.5034850315891545,,0.3506932078060024,0.4826529849109339,0.4354073423525964,0.5805048984546802,0.3158541900437465,-0.09890046275165969,0.307089005407991,0.3178367436786748,0.5553397450980206,0.34220748279147495,0.6142606750432277,0.4570576299162508,0.28428812085462174,0.4365268928696885,,0.425442732566077,0.35470139776822346,,0.30168319791701886,0.2452258452794416,0.9622313524006523
2000-04-18,0.30129610701294796,0.46972168914402235,0.4044061040817509,0.5107564735966695,0.5372270605689202,0.04766679589654132,0.6193935364105478,0.1530053405311843,0.39982537472292323,0.5445948708223333,0.6357956889526897,0.1633892960849045,0.33891598059469996,,0.4825917015634815,0.6790687608771542,0.27706007325144916,,0.563750404968141,0.3554123116336404,0.35665707766048177,0.6742094533924382,0.37335843286742026,0.36704100782881255,0.6264014999027274,0.554711572562337,0.4326086943785942,0.1767224543390965,0.5029384456617578,,0.3061686019026452,0.4717769500528533,0.44516378319481703,0.6005295452982279,0.3438179154776314,-0.09276526753805793,0.298528424168884,0.29724870757153377,0.5476761627410944,0.3064725494879776,0.5832243909327327,0.4393089758328945,0.336173861399905,0.4255949230857366,,0.4211857142584124,0.3674628546647365,,0.3150653178966666,0.24769073660599686,0.9650573806576676
2000-04-19,0.28916974856346356,0.4757271877539164,0.40514258120262103,0.49969723035834374,0.5354181119800904,0.04323050554576588,0.6317270659931634,0.11430713970707602,0.402283370616942,0.5379052117527076,0.6403533359978746,0.16054640002296983,0.335543720952223,,0.4655219244892208,0.6763957458100005,0.28257998859617045,,0.5634542150879769,0.34279944892143055,0.361735015369698,0.6591770221117209,0.3664862253911868,0.3674210803984276,0.6313145646851942,0.5552640389972284,0.43580709021452235,0.17605995953530615,0.4952871906909209,,0.30240778640421806,0.45919633093392104,0.4401659838022075,0.6021607651480777,0.34379733183685135,-0.11166396939164908,0.2988529364125024,0.29271448100724506,0.5455089898422188,0.29559346139260684,0.6014367226659042,0.40874691733877316,0.3309313332552886,0.4289088840711299,,0.4367854903614543,0.3570381547071674,,0.28456880960541237,0.23205872963037527,0.966711321175062
2000-04-20,0.291281351851616,0.4744168736513112,0.4059353972318704,0.4997654675868757,0.5360364936855535,0.044579601133774044,0.631582706870663,0.11853782556845165,0.4032720663536854,0.5384888202453604,0.6397283589071707,0.1642755575033907,0.33706881656982185,,0.4649670981919929,0.6770305020010111,0.2813015701404457,,0.5560710680509071,0.33488268510601626,0.36382881088504015,0.6527048898853395,0.3615494787890461,0.3661914898822655,0.6294132732776085,0.5559635957016615,0.4374509695945743,0.17867375395269883,0.5063167387996897,,0.30218768855229255,0.46009837077512145,0.4407677161318432,0.6017131213885231,0.3452659451848583,-0.11277457082269442,0.2984572877311664,0.2973788032529402,0.5456890418188425,0.29773336066383593,0.595643337933419,0.4106556922647685,0.3314905134748384,0.4351846898311605,,0.43713864762275095,0.3673396255980078,,0.27546391287144545,0.2362859271038074,0.966753313760122
2000-04-24,0.2559935943975082,0.47274901147487675,0.4267977149750655,0.46339207908698377,0.5449550797119069,0.023925118394927884,0.6169406735720384,0.11217824577436056,0.3969136774818325,0.5446382649048609,0.6300840023416123,0.17526914965476606,0.3596881813346636,,0.46524064431137563,0.6506456722708199,0.2503338775871878,,0.546905715515709,0.35718319955531763,0.3601423729207889,0.6684757193027322,0.35447608101691674,0.31341075788170397,0.6463396692406315,0.5455811208457539,0.42478400527532406,0.0631796625805878,0.49801485342953233,,0.2834056692557906,0.41493831604308334,0.41361055708897604,0.5814605271282801,0.36455681388100764,-0.14081535441919704,0.2850044690640401,0.3014903308102447,0.5271443972965335,0.28365601354943704,0.5820461886413896,0.40490475539869664,0.29508578937489904,0.41654686529633267,,0.4482859437145401,0.3420161740231549,,0.26306968452180174,0.227460320931098,0.9638217385221924
2000-04-25,0.23544866689221633,0.5090742254445495,0.44271470040115285,0.4383356430313827,0.54331705789629,0.048217096721599344,0.6347376034697311,0.13470879681396983,0.3937856727416092,0.5592991288614326,0.6288046428862656,0.1619677829294341,0.34791408127498225,,0.514767439657197,0.6495743830858293,0.22180382332288603,,0.5864069641498062,0.3767312891078465,0.41607896960246055,0.689569300778276,0.38530551566828786,0.3016576690878339,0.6553138410521668,0.5367043654556233,0.4216369639829126,0.04785606953027295,0.4453539491058245,,0.296932287694799,0.35084898024434913,0.4023997279306972,0.5772917394568237,0.38106242774839766,-0.15867602640638317,0.2664035151472026,0.23462095308911665,0.5609135222536012,0.31719644210962866,0.5843898831763266,0.40611993727834056,0.3331285641057634,0.47664099484086125,,0.47362472318944066,0.3906819069579872,,0.2922573530683496,0.23867407224810694,0.9654186117868173
2000-04-26,0.24192635745196073,0.5110742683302052,0.4413260497841542,0.441009332846394,0.5463246611426111,0.05542838665901369,0.6410239262566088,0.12816287639237162,0.4006017439887613,0.576729241971585,0.6230583290127905,0.15070386465092728,0.35165519050292365,,0.5467069330071495,0.6608754010898527,0.2228516123154669,,0.604570071012629,0.37814663003919224,0.41690527630605695,0.6939341575698548,0.39617023067639096,0.3027679485265915,0.6831546590729453,0.5371830530616738,0.4396217790370309,0.07525834897509343,0.4496317084017755,,0.3084057246814134,0.385457351336966,0.413074352597658,0.5805364863077331,0.37950753448046526,-0.16057232462003956,0.2805996162910017,0.2496160441695695,0.5696840408435246,0.32951815036983395,0.6037947730440384,0.41421360200791646,0.35303200130689916,0.4809163702444455,,0.47511089666715334,0.37896854070575786,,0.2985698828380036,0.24051342704364312,0.9659187315673572
2000-04-27,0.2500583413699261,0.5052216755633215,0.4289377193358385,0.4368210687394108,0.5256132770054864,0.06311078635865332,0.6454626533404337,0.12575313134500646,0.3987579202810264,0.5752001086713459,0.6175842117994013,0.1421745349565134,0.3444272013012196,,0.5488199192367794,0.6614916019521059,0.2221992266729057,,0.6048850735726437,0.3759484434271599,0.41571389773297573,0.6884793467815692,0.39018523191570237,0.3008646440379102,0.6894790383595121,0.518637615419977,0.44101004175127045,0.07287423582958592,0.449335454415732,,0.3141133667931803,0.38666869845935864,0.41717076509220913,0.5829292827265026,0.37731864076216054,-0.15832636855805776,0.27948723341954834,0.2536683146576555,0.5688277779117645,0.33289477224718494,0.5924181804250005,0.40959496810883883,0.35614940401147277,0.4808477867327236,,0.46325670390751933,0.37425204646444565,,0.29102146713039806,0.23695282737744802,0.9649732270377384
2000-04-28,0.2939673649200504,0.4865708764668228,0.42256571758554,0.4277939424857934,0.51518203956202,0.08081825791378593,0.6412152951289081,0.12156778716539636,0.4024789888243958,0.5678128219219218,0.6146925047446342,0.1285184516679881,0.3168360714824043,,0.5264374352209454,0.6407896259121986,0.1697198467289067,,0.6080206961471951,0.39182626851336494,0.4074281094687195,0.675938234514492,0.3666428711302792,0.37000848729097274,0.6772703100504129,0.5175938391532894,0.43283260509105353,0.037855929372618356,0.4371975268314859,,0.3402808949659565,0.36217864181043996,0.4630010336517884,0.5627164711431643,0.3500962978249672,-0.21339772491816567,0.24590530391203586,0.2453736618245944,0.557664043454235,0.3155961371876267,0.5668289693081262,0.3775509608713482,0.351165824531389,0.4944409290392896,,0.44195483728531915,0.39513553136540347,,0.3256418466218699,0.2205673583791294,0.963463600624488
2000-05-01,0.2778071489515354,0.5254531027036923,0.44172513436709204,0.4623419726046316,0.4978331406170775,0.033925972446434007,0.6313019359759415,0.11885451556056117,0.39848643030901404,0.5701655351410435,0.6070618520080927,0.12480615089978139,0.31896097964963693,,0.5108818176281953,0.6564075595265336,0.19489482838306316,,0.6017314642592924,0.42993515966020424,0.4099858141250502,0.6620834806386174,0.3733513888522719,0.3613276311013949,0.6671202957137486,0.5024205735505556,0.44514887004859177,0.08116720604056908,0.45335398152458667,,0.3388445915257925,0.35654932087895563,0.43734831088412973,0.5567188739101577,0.3308191399120317,-0.22552677237978055,0.2918445783061028,0.24359902482547527,0.5525511782064363,0.34746073317951315,0.5439939305883508,0.3730463902719072,0.3813159388707665,0.46874399423109925,,0.4420079892682162,0.4155764663433709,,0.3500654143113219,0.1838301373760791,0.9623311442331345
2000-05-02,0.27310385384597297,0.5418920723330988,0.45414264202380517,0.46386723779529915,0.5038690751854986,0.0721341112873798,0.6321717305566131,0.13788063486827115,0.3843351842937006,0.5679091542615536,0.6176006293865576,0.0989637847658233,0.29200035319858075,,0.5143608946095832,0.6418997560572326,0.18901813227337835,,0.61109707881439,0.43421487933274616,0.4180522924305736,0.6692931132630627,0.3867970004020665,0.34942939784796595,0.6328044974999004,0.5058460736969383,0.4353654896488383,0.10090507591906721,0.45534044983980954,,0.3466279312970842,0.35102579635118847,0.42223900197834285,0.5809485693519542,0.34159082959273956,-0.2592043651562989,0.2730893884462717,0.2395830320654503,0.5471193357844033,0.3416764192792598,0.5198296892928684,0.36109404923915767,0.37728823923087357,0.4890319780808176,,0.44529585417576456,0.4270386632327273,,0.36275338583293515,0.17781740157313192,0.9622557293023335
2000-05-03,0.281378289926857,0.5501905731966124,0.46325812091169,0.48305775021275227,0.5048174790929479,0.09625475741984307,0.6457217428092823,0.14575872366564413,0.38518881482766637,0.5831549529018835,0.6262798747791438,0.11715705016792592,0.31518758644664013,,0.522546970266234,0.6537452078067275,0.20708530405040168,,0.6111771786247445,0.436408503300433,0.43465673200321336,0.6713149855975992,0.3923190582462379,0.35262548494451984,0.6380979098460294,0.5235256001908684,0.4293680350568093,0.1143562613917778,0.4733753063424511,,0.3512346347059899,0.35589747488825085,0.42381848645950665,0.589461513772391,0.3425709607877676,-0.25317058265944764,0.28949740207484653,0.22734947790377386,0.5531533067828079,0.35846388745653335,0.5231974696772302,0.3716177454601065,0.3792505146982977,0.48849190365433504,,0.45403060080435037,0.4325644627160915,,0.3595114436667002,0.18258679253553972,0.9632896745787594
2000-05-04,0.2777506215022708,0.5418564501522821,0.45181688560810057,0.47299749133891245,0.5038955451373346,0.11235508212558905,0.6537912653254342,0.16263718821884238,0.3959381775092694,0.5821578111959222,0.6105242332841745,0.12919708873108027,0.31984433403027485,,0.5189461163065505,0.6419398364772272,0.21998419425616156,,0.6416160219158057,0.42169110461090703,0.4241571009925005,0.6659558424547963,0.3866024962433374,0.3678072513297767,0.6334263290100927,0.5222947314460411,0.42836541317141785,0.12257474066642506,0.4737580097510466,,0.3392527014442586,0.36071206534838085,0.42477498171677536,0.5838442539593209,0.3380930862992496,-0.24687350018115894,0.29995319752021404,0.2293289880952933,0.5602571724636382,0.3654557817681279,0.524029843494895,0.38296982449974276,0.37504986960834463,0.49021489507257693,,0.44675908885329346,0.4213952590959957,,0.3519854079381575,0.19847205327753129,0.9598462457452357
